"","scientificName","ias"
"120","Taudactylus eungellensis","Batrachochytrium dendrobatidis"
"121","Taudactylus liemi","Rhinella marina"
"122","Taudactylus pleione","Batrachochytrium dendrobatidis"
"123","Taudactylus rheophilus","Batrachochytrium dendrobatidis"
"124","Thamnophis gigas","Felis catus"
"125","Thamnophis hammondii","Lithobates catesbeianus"
"126","Thoropa lutzi","Batrachochytrium dendrobatidis"
"127","Thoropa petropolitana","Batrachochytrium dendrobatidis"
"128","Xantusia riversiana","Oryctolagus cuniculus"
"129","Anaxyrus exsul","Unspecified CYPRINIDAE"
"130","Anaxyrus houstonensis","Solenopsis invicta"
"131","Anaxyrus canorus","Unspecified SALMONIDAE"
"132","Anaxyrus nelsoni","Unspecified SILURIFORMES"
"133","Burramys parvus","Vulpes vulpes"
"134","Canis simensis","Canis familiaris"
"135","Pelodytes caucasicus","Procyon lotor"
"136","Sarcophilus harrisii","Vulpes vulpes"
"137","Litoria caerulea","Batrachochytrium dendrobatidis"
"138","Litoria chloris","Batrachochytrium dendrobatidis"
"139","Litoria ewingii","Batrachochytrium dendrobatidis"
"140","Litoria booroolongensis","Batrachochytrium dendrobatidis"
"141","Litoria cooloolensis","Unspecified Gambusia"
"142","Litoria genimaculata","Batrachochytrium dendrobatidis"
"143","Litoria olongburensis","Gambusia holbrooki"
"144","Litoria subglandulosa","Unspecified SALMONIDAE"
"145","Heleioporus australiacus","Batrachochytrium dendrobatidis"
"146","Pseudophryne pengilleyi","Rubus fruticosus"
"147","Spicospina flammocaerulea","Unspecified Phytophthora"
"148","Litoria adelaidensis","Batrachochytrium dendrobatidis"
"149","Litoria moorei","Batrachochytrium dendrobatidis"
"150","Litoria phyllochroa","Batrachochytrium dendrobatidis"
"151","Crinia georgiana","Batrachochytrium dendrobatidis"
"152","Crinia pseudinsignifera","Batrachochytrium dendrobatidis"
"153","Geocrinia rosea","Batrachochytrium dendrobatidis"
"154","Heleioporus eyrei","Batrachochytrium dendrobatidis"
"155","Limnodynastes dumerilii","Batrachochytrium dendrobatidis"
"156","Atelopus coynei","Batrachochytrium dendrobatidis"
"157","Anaxyrus baxteri","Batrachochytrium dendrobatidis"
"158","Ingerophrynus biporcatus","Duttaphrynus melanostictus"
"159","Bufo bufo","Batrachochytrium dendrobatidis"
"160","Rhaebo caeruleostictus","Lithobates catesbeianus"
"161","Anaxyrus californicus","Lithobates catesbeianus"
"162","Atelopus spumarius","Batrachochytrium dendrobatidis"
"163","Rhinella amabilis","Batrachochytrium dendrobatidis"
"164","Peltophryne cataulaciceps","Dichrostachys cinerea"
"165","Peltophryne empusa","Dichrostachys cinerea"
"166","Peltophryne gundlachi","Dichrostachys cinerea"
"167","Centrolene buckleyi","Batrachochytrium dendrobatidis"
"168","Nymphargus megacheirus","Batrachochytrium dendrobatidis"
"169","Hyloxalus infraguttatus","Capra hircus"
"170","Hyloxalus anthracinus","Batrachochytrium dendrobatidis"
"171","Hyloxalus bocagei","Batrachochytrium dendrobatidis"
"172","Allobates olfersioides","Batrachochytrium dendrobatidis"
"173","Hyloxalus vertebralis","Batrachochytrium dendrobatidis"
"174","Epipedobates boulengeri","Batrachochytrium dendrobatidis"
"175","Epipedobates espinosai","Lithobates catesbeianus"
"176","Gastrotheca cornuta","Batrachochytrium dendrobatidis"
"177","Gastrotheca riobambae","Batrachochytrium dendrobatidis"
"178","Boana cymbalum","Batrachochytrium dendrobatidis"
"179","Aplastodiscus flumineus","Batrachochytrium dendrobatidis"
"180","Aplastodiscus callipygius","Batrachochytrium dendrobatidis"
"181","Bokermannohyla circumdata","Batrachochytrium dendrobatidis"
"182","Boana claresignata","Batrachochytrium dendrobatidis"
"183","Hyla meridionalis","Procambarus clarkii"
"184","Bokermannohyla hylax","Batrachochytrium dendrobatidis"
"185","Litoria daviesae","Unspecified SALMONIDAE"
"186","Phrynomedusa appendiculata","Batrachochytrium dendrobatidis"
"187","Ololygon albicans","Batrachochytrium dendrobatidis"
"188","Ololygon heyeri","Batrachochytrium dendrobatidis"
"189","Cycloramphus boraceiensis","Batrachochytrium dendrobatidis"
"190","Cycloramphus granulosus","Batrachochytrium dendrobatidis"
"191","Cycloramphus ohausi","Batrachochytrium dendrobatidis"
"192","Cycloramphus semipalmatus","Batrachochytrium dendrobatidis"
"193","Crossodactylus dispar","Batrachochytrium dendrobatidis"
"194","Crossodactylus gaudichaudii","Batrachochytrium dendrobatidis"
"195","Crossodactylus schmidti","Lithobates catesbeianus"
"196","Pristimantis chalceus","Batrachochytrium dendrobatidis"
"197","Pristimantis citriogaster","Batrachochytrium dendrobatidis"
"198","Pristimantis cremnobates","Batrachochytrium dendrobatidis"
"199","Pristimantis crenunguis","Batrachochytrium dendrobatidis"
"200","Pristimantis crucifer","Batrachochytrium dendrobatidis"
"201","Pristimantis duellmani","Batrachochytrium dendrobatidis"
"202","Pristimantis ignicolor","Batrachochytrium dendrobatidis"
"203","Pristimantis labiosus","Batrachochytrium dendrobatidis"
"204","Pristimantis nigrogriseus","Batrachochytrium dendrobatidis"
"205","Pristimantis prolatus","Batrachochytrium dendrobatidis"
"206","Eleutherodactylus symingtoni","Batrachochytrium dendrobatidis"
"207","Eleutherodactylus turquinensis","Batrachochytrium dendrobatidis"
"208","Hylodes dactylocinus","Batrachochytrium dendrobatidis"
"209","Hylodes magalhaesi","Batrachochytrium dendrobatidis"
"210","Hylodes meridionalis","Batrachochytrium dendrobatidis"
"211","Hylodes perplicatus","Batrachochytrium dendrobatidis"
