"","scientificName","ias"
"937","Litoria raniformis","Batrachochytrium dendrobatidis"
"938","Pteropus niger","Macaca fascicularis"
"939","Atelopus flavescens","Batrachochytrium dendrobatidis"
"940","Bolitoglossa jugivagans","Batrachochytrium dendrobatidis"
"941","Chrysocyon brachyurus","Canis familiaris"
"942","Mus mayori","Felis catus"
"943","Microlophus indefatigabilis","Canis familiaris"
"944","Atelopus siranus","Batrachochytrium dendrobatidis"
"945","Rhinella inca","Batrachochytrium dendrobatidis"
"946","Hyloxalus mittermeieri","Batrachochytrium dendrobatidis"
"947","Hyloxalus sylvaticus","Batrachochytrium dendrobatidis"
"948","Boana melanopleura","Batrachochytrium dendrobatidis"
"949","Telmatobius brachydactylus","Batrachochytrium dendrobatidis"
"950","Pristimantis cosnipatae","Batrachochytrium dendrobatidis"
"951","Pristimantis lindae","Batrachochytrium dendrobatidis"
"952","Pristimantis schultei","Aeromonas caviae"
"953","Bryophryne cophites","Batrachochytrium dendrobatidis"
"954","Telmatobius atahualpai","Batrachochytrium dendrobatidis"
"955","Telmatobius colanensis","Batrachochytrium dendrobatidis"
"956","Telmatobius rimac","Batrachochytrium dendrobatidis"
"957","Gastrotheca antoniiochoai","Batrachochytrium dendrobatidis"
"958","Atelopus epikeisthos","Batrachochytrium dendrobatidis"
"959","Atelopus oxapampae","Batrachochytrium dendrobatidis"
"960","Hyloxalus spilotogaster","Batrachochytrium dendrobatidis"
"961","Bryophryne hanssaueri","Batrachochytrium dendrobatidis"
"962","Bryophryne zonalis","Batrachochytrium dendrobatidis"
"963","Gastrotheca nebulanastes","Batrachochytrium dendrobatidis"
"964","Gastrotheca phelloderma","Batrachochytrium dendrobatidis"
"965","Boana gladiator","Batrachochytrium dendrobatidis"
"966","Oreobates granulosus","Batrachochytrium dendrobatidis"
"967","Equus grevyi","Bacillus anthracis"
"968","Chelonoidis donfaustoi","Unspecified Rattus"
"969","Astylosternus rheophilus","Batrachochytrium dendrobatidis"
"970","Werneria preussi","Batrachochytrium dendrobatidis"
"971","Werneria tandyi","Batrachochytrium dendrobatidis"
"972","Ateuchosaurus pellopleurus","Pavo cristatus"
"973","Ptyas herminae","Mustela itatsi"
"974","Ptyas semicarinatus","Herpestes javanicus"
"975","Gekko shibatai","Hemidactylus frenatus_new"
"976","Gekko vertebralis","Herpestes javanicus"
"977","Hebius concelarus","Pavo cristatus"
"978","Hebius ishigakiensis","Pavo cristatus"
"979","Hebius pryeri","Herpestes javanicus"
"980","Plestiodon kuchinoshimensis","Mustela itatsi"
"981","Plestiodon latiscutatus","Mustela itatsi"
"982","Plestiodon marginatus","Mustela itatsi"
"983","Plestiodon oshimensis","Mustela itatsi"
"984","Plestiodon stimpsonii","Mustela itatsi"
"985","Scincella boettgeri","Mustela itatsi"
"986","Takydromus dorsalis","Pavo cristatus"
"987","Takydromus smaragdinus","Herpestes auropunctatus"
"988","Leptodactylodon ornatus","Batrachochytrium dendrobatidis"
"989","Leptodactylodon polyacanthus","Batrachochytrium dendrobatidis"
"990","Achalinus werneri","Herpestes auropunctatus"
"991","Calamaria pfefferi","Pavo cristatus"
"992","Plestiodon kishinouyei","Felis catus"
"993","Opisthotropis kikuzatoi","Lithobates catesbeianus"
"994","Pareas iwasakii","Rhinella marina_new"
"995","Goniurosaurus kuroiwae","Felis catus"
"996","Sinomicrurus japonicus","Mustela itatsi"
"997","Takydromus toyamai","Pavo cristatus"
"998","Achalinus formosanus","Mustela itatsi"
"999","Perochirus ateles","Felis catus"
"1000","Plestiodon barbouri","Herpestes auropunctatus"
"1001","Cnemaspis psychedelica","Macaca fascicularis"
"1002","Capra falconeri","Capra hircus"
"1003","Sternotherus depressus","Unspecified HIRUDINIDAE"
"1004","Graptemys pulchra","Unspecified Corbicula"
"1005","Pseudemys nelsoni","Unspecified Solenopsis"
"1006","Pseudemys peninsularis","Ctenopharyngodon idella"
"1007","Hyperolius tuberculatus","Batrachochytrium dendrobatidis"
"1008","Atelopus balios","Batrachochytrium dendrobatidis"
"1009","Atelopus exiguus","Batrachochytrium dendrobatidis"
"1010","Atelopus guanujo","Gallus gallus ssp. domesticus"
"1011","Atelopus ignescens","Batrachochytrium dendrobatidis"
"1012","Atelopus mindoensis","Batrachochytrium dendrobatidis"
"1013","Atelopus nanay","Batrachochytrium dendrobatidis"
"1014","Atelopus nepiozomus","Batrachochytrium dendrobatidis"
"1015","Atelopus palmatus","Batrachochytrium dendrobatidis"
"1016","Atelopus planispina","Batrachochytrium dendrobatidis"
"1017","Pristimantis katoptroides","Batrachochytrium dendrobatidis"
"1018","Atelopus onorei","Batrachochytrium dendrobatidis"
"1019","Liolaemus cranwelli","Unspecified Brachiaria"
"1020","Delma impar","Felis catus"
"1021","Delma torquata","Lantana camara"
"1022","Liopholis kintorei","Felis catus"
"1023","Lerista allanae","Cenchrus ciliaris"
"1024","Lerista vittata","Unspecified POACEAE"
"1025","Ophidiocephalus taeniatus","Cenchrus ciliaris"
"1026","Paradelma orientalis","Vulpes vulpes"
"1027","Ctenotus rimacolus","Felis catus"
"1028","Oligosoma lichenigerum","Rattus rattus"
"1029","Eulamprus tympanum","Felis catus"
"1030","Praeteropus brevicollis","Cenchrus ciliaris"
"1031","Emoia nativitatis","Anoplolepis gracilipes"
"1032","Varanus gouldii","Vulpes vulpes"
"1033","Varanus mertensi","Rhinella marina"
"1034","Varanus mitchelli","Rhinella marina"
"1035","Lerista vanderduysi","Unspecified POACEAE"
"1036","Lerista hobsoni","Bothriochloa pertusa"
"1037","Cryptoblepharus egeriae","Anoplolepis gracilipes"
"1038","Amalosia jacovae","Hemidactylus frenatus"
"1039","Phyllurus kabikabi","Dolichandra unguis-cati"
"1040","Diplodactylus laevis","Felis catus"
"1041","Diplodactylus capensis","Cenchrus ciliaris"
"1042","Lucasium occultum","Felis catus"
"1043","Lucasium steindachneri","Felis catus"
"1044","Nebulifera robusta","Unspecified Hemidactylus"
"1045","Rhynchoedura angusta","Felis catus"
"1046","Acanthophis cryptamydros","Rhinella marina"
"1047","Drysdalia coronoides","Felis catus"
"1048","Hoplocephalus bitorquatus","Rhinella marina"
"1049","Parasuta flagellum","Felis catus"
"1050","Suta ordensis","Rhinella marina"
"1051","Suta punctata","Rhinella marina"
"1052","Aprasia parapulchella","Felis catus"
"1053","Delma borea","Felis catus"
"1054","Delma inornata","Vulpes vulpes"
"1055","Delma tealei","Cenchrus ciliaris"
"1056","Pygopus steelescotti","Felis catus"
"1057","Anilios insperatus","Solenopsis invicta"
"1058","Anomalopus leuckartii","Vulpes vulpes"
"1059","Carlia schmeltzii","Themeda quadrivalvis"
"1060","Cryptoblepharus nigropunctatus","Anolis carolinensis"
"1061","Lycalopex fulvipes","Canis familiaris"
"1062","Ctenophorus graafi","Felis catus"
"1063","Crenadactylus horni","Cenchrus ciliaris"
"1064","Ctenotus astarte","Felis catus"
"1065","Ctenotus capricorni","Cenchrus ciliaris"
"1066","Ctenotus fallens","Felis catus"
"1067","Ctenotus kurnbudj","Felis catus"
"1068","Ctenotus serotinus","Vulpes vulpes"
"1069","Ctenotus stuarti","Felis catus"
"1070","Cyclodomorphus casuarinae","Dacelo novaeguineae"
"1071","Cyclodomorphus praealtus","Rattus rattus"
"1072","Cyclodomorphus venustus","Felis catus"
"1073","Egernia douglasi","Rhinella marina"
"1074","Eroticoscincus graciloides","Solenopsis geminata"
"1075","Eulamprus kosciuskoi","Equus caballus"
"1076","Glaphyromorphus othelarrni","Sus domesticus"
"1077","Lampropholis caligula","Cytisus scoparius"
"1078","Lerista ameles","Bothriochloa pertusa"
"1079","Lerista cinerea","Cenchrus ciliaris"
"1080","Lerista nevinae","Cenchrus ciliaris"
"1081","Lerista puncticauda","Felis catus"
"1082","Lerista rochfordensis","Unspecified POACEAE"
"1083","Lerista storri","Themeda quadrivalvis"
"1084","Liopholis guthega","Felis catus"
"1085","Liopholis multiscutata","Vulpes vulpes"
"1086","Liopholis slateri","Bos taurus"
"1087","Lissolepis coventryi","Rusa unicolor"
"1088","Nangura spinosa","Araucaria cunninghamii"
"1089","Notoscincus butleri","Cenchrus ciliaris"
"1090","Proablepharus barrylyoni","Themeda quadrivalvis"
"1091","Pseudemoia cryodroma","Vulpes vulpes"
"1092","Tiliqua nigrolutea","Canis familiaris"
"1093","Tiliqua occipitalis","Vulpes vulpes"
"1094","Tiliqua scincoides","Rhinella marina"
"1095","Urocitellus washingtoni","Yersinia pestis"
"1096","Amietia vertebralis","Batrachochytrium dendrobatidis"
"1097","Plestiodon takarai","Capra hircus"
"1098","Hypsirhynchus ater","Herpestes auropunctatus"
"1099","Alsophis rijgersmaei","Felis catus"
"1100","Alsophis rufiventris","Felis catus"
"1101","Anisomys imitator","Rattus rattus"
"1102","Bettongia tropica","Felis catus"
"1103","Celestus microblepharis","Herpestes auropunctatus"
"1104","Chironius vincenti","Herpestes auropunctatus"
"1105","Cynomys ludovicianus","Yersinia pestis"
"1106","Diploglossus montisserrati","Sus domesticus"
"1107","Isoodon auratus","Felis catus"
"1108","Erythrolamprus cursor","Mus musculus"
"1109","Erythrolamprus perfuscus","Herpestes auropunctatus"
"1110","Macrotarsomys ingens","Canis familiaris"
"1111","Mallomys istapantap","Canis familiaris"
"1112","Melomys aerosus","Rattus rattus"
"1113","Pseudomys oralis","Vulpes vulpes"
"1114","Pseudomys shortridgei","Felis catus"
"1115","Rattus bontanus","Rattus rattus"
"1116","Rattus enganus","Rattus rattus"
"1117","Rattus hainaldi","Rattus exulans"
"1118","Rattus lugens","Unspecified Rattus"
"1119","Rattus simalurensis","Rattus exulans"
"1120","Rattus tunneyi","Felis catus"
"1121","Sphaerodactylus micropithecus","Rattus rattus"
"1122","Thomomys mazama","Canis familiaris"
"1123","Celestus warreni","Canis familiaris"
"1124","Isoodon obesulus","Felis catus"
"1125","Borikenophis sanctaecrucis","Herpestes auropunctatus"
"1126","Sorex palustris","Lymantria dispar"
"1127","Cynomys gunnisoni","Yersinia pestis"
"1128","Melomys talaudium","Unspecified MURIDAE"
"1129","Melomys fulgens","Unspecified RODENTIA"
"1130","Melomys caurinus","Unspecified Rattus"
"1131","Magliophis exiguus","Herpestes auropunctatus"
"1132","Alsophis antillensis","Herpestes auropunctatus"
"1133","Alsophis manselli","Herpestes auropunctatus"
"1134","Cubophis vudii","Felis catus"
"1135","Haitiophis anomalus","Herpestes auropunctatus"
"1136","Hypsirhynchus callilaemus","Felis catus"
"1137","Hypsirhynchus ferox","Herpestes auropunctatus"
"1138","Hypsirhynchus funereus","Herpestes auropunctatus"
"1139","Hypsirhynchus melanichnus","Herpestes auropunctatus"
"1140","Hypsirhynchus polylepis","Felis catus"
"1141","Hypsirhynchus scalaris","Herpestes auropunctatus"
"1142","Ialtris agyrtes","Herpestes javanicus_old"
"1143","Ialtris dorsalis","Herpestes auropunctatus"
"1144","Ialtris parishi","Herpestes auropunctatus"
"1145","Sphaerodactylus kirbyi","Felis catus"
"1146","Amerotyphlops tasymicris","Felis catus"
"1147","Celestus barbouri","Herpestes auropunctatus"
"1148","Aristelliger hechti","Felis catus"
"1149","Chironius grandisquamis","Batrachochytrium dendrobatidis"
"1150","Alinea lanceolata","Herpestes auropunctatus"
"1151","Alinea luciae","Rattus rattus"
"1152","Holcosus niceforoi","Felis catus"
"1153","Capitellum mariagalantae","Herpestes auropunctatus"
"1154","Capitellum metallicum","Rattus rattus"
"1155","Copeoglossum aurae","Rattus rattus"
"1156","Copeoglossum redondae","Rattus rattus"
"1157","Mabuya hispaniolae","Herpestes auropunctatus"
"1158","Mabuya montserratae","Rattus rattus"
"1159","Mabuya mabouya","Herpestes auropunctatus"
"1160","Spondylurus anegadae","Felis catus"
"1161","Spondylurus caicosae","Felis catus"
"1162","Spondylurus fulgidus","Herpestes auropunctatus"
"1163","Spondylurus haitiae","Rattus rattus"
"1164","Spondylurus lineolatus","Rattus rattus"
"1165","Spondylurus macleani","Rattus rattus"
"1166","Spondylurus martinae","Rattus rattus"
"1167","Spondylurus turksae","Rattus rattus"
"1168","Phyllodactylus pulcher","Hemidactylus mabouia"
"1169","Phyllodactylus julieni","Hemidactylus mabouia"
"1170","Phyllodactylus martini","Hemidactylus mabouia"
"1171","Gonatodes antillensis","Hemidactylus mabouia"
"1172","Amphisbaena innocens","Herpestes auropunctatus"
"1173","Amphisbaena leali","Herpestes auropunctatus"
"1174","Celestus molesworthi","Herpestes auropunctatus"
"1175","Leiocephalus altavelensis","Felis catus"
"1176","Leiocephalus barahonensis","Herpestes auropunctatus"
"1177","Leiocephalus endomychus","Herpestes auropunctatus"
"1178","Leiocephalus pratensis","Herpestes auropunctatus"
"1179","Leiocephalus psammodromus","Felis catus"
"1180","Phyllodactylus hispaniolae","Capra hircus"
"1181","Sphaerodactylus beattyi","Rattus rattus"
"1182","Sphaerodactylus ladae","Capra hircus"
"1183","Sphaerodactylus parthenopion","Rattus rattus"
"1184","Sphaerodactylus rhabdotus","Capra hircus"
"1185","Antillotyphlops catapontus","Felis catus"
"1186","Pseudomys australis","Felis catus"
"1187","Celestus anelpistus","Canis familiaris"
"1188","Monachus monachus","Lagocephalus sceleratus"
"1189","Pholidoscelis atratus","Capra hircus"
"1190","Pholidoscelis chrysolaemus","Felis catus"
"1191","Pholidoscelis corvinus","Mus musculus"
"1192","Pholidoscelis dorsalis","Herpestes auropunctatus"
"1193","Pholidoscelis erythrocephalus","Herpestes auropunctatus"
"1194","Pholidoscelis plei","Herpestes auropunctatus"
"1195","Pholidoscelis polops","Herpestes auropunctatus"
"1196","Lynx lynx","Canis familiaris"
"1197","Iguana delicatissima","Iguana iguana"
"1198","Atelopus sernai","Oncorhynchus mykiss"
"1199","Capitellum parvicruzae","Herpestes javanicus_old"
"1200","Oryzomys gorgasi","Rattus rattus"
"1201","Neotoma bryanti","Felis catus"
"1202","Hypogeophis brevis","Cinnamomum verum"
"1203","Ctenosaura bakeri","Canis familiaris"
"1204","Cyrtodactylus sadleiri","Rattus rattus"
"1205","Pelochelys signifera","Barbonymus gonionotus"
"1206","Atelopus pulcher","Batrachochytrium dendrobatidis"
"1207","Pristimantis taeniatus","Batrachochytrium dendrobatidis"
"1208","Telmatobius intermedius","Batrachochytrium dendrobatidis"
"1209","Nactus serpensinsula","Pheidole megacephala"
"1210","Dasyurus maculatus","Rhinella marina"
"1211","Geocapromys thoracatus","Felis catus"
"1212","Isolobodon portoricensis","Unspecified HERPESTIDAE"
"1213","Dipodomys stephensi","Bromus diandrus"
"1214","Cynomys parvidens","Yersinia pestis"
"1215","Solenodon marcanoi","Unspecified Rattus"
"1216","Peromyscus guardia","Unspecified Rattus"
"1217","Peromyscus stephani","Felis catus"
"1218","Morelia carinata","Rhinella marina"
"1219","Colostethus pratti","Batrachochytrium dendrobatidis"
"1220","Limnonectes macrocephalus","Hoplobatrachus rugulosus"
"1221","Dendropsophus mathiassoni","Lithobates catesbeianus"
"1222","Chilabothrus inornatus","Herpestes auropunctatus"
"1223","Boa orophias","Boa constrictor"
"1224","Chalcorana chalconota","Batrachochytrium dendrobatidis"
"1225","Alsodes nodosus","Australoheros facetus"
"1226","Leptobrachium hasseltii","Batrachochytrium dendrobatidis"
"1227","Pristimantis uranobates","Batrachochytrium dendrobatidis"
"1228","Strabomantis zygodactylus","Batrachochytrium dendrobatidis"
"1229","Gastrotheca orophylax","Batrachochytrium dendrobatidis"
"1230","Hyloscirtus lindae","Batrachochytrium dendrobatidis"
"1231","Telmatobius macrostomus","Unspecified SALMONIDAE"
"1232","Atelopus andinus","Batrachochytrium dendrobatidis"
"1233","Atelopus erythropus","Batrachochytrium dendrobatidis"
"1234","Atelopus peruensis","Batrachochytrium dendrobatidis"
"1235","Nannophryne cophotis","Batrachochytrium dendrobatidis"
"1236","Centrolene hesperium","Batrachochytrium dendrobatidis"
"1237","Atelopus eusebiodiazi","Batrachochytrium dendrobatidis"
"1238","Atelopus podocarpus","Batrachochytrium dendrobatidis"
"1239","Protobothrops flavoviridis","Protobothrops elegans"
"1240","Gastrotheca pseustes","Batrachochytrium dendrobatidis"
"1241","Hyloscirtus staufferorum","Batrachochytrium dendrobatidis"
"1242","Cyrtodactylus jarakensis","Unspecified Rattus"
"1243","Varanus rosenbergi","Vulpes vulpes"
"1244","Varanus semiremex","Rhinella marina"
"1245","Varanus spenceri","Rhinella marina"
"1246","Cyrtodactylus khelangensis","Felis catus"
"1247","Cyrtodactylus thirakhupti","Felis catus"
"1248","Gekko lauhachindai","Felis catus"
"1249","Cnemaspis thachanaensis","Felis catus"
"1250","Limnonectes woodworthi","Batrachochytrium dendrobatidis"
"1251","Kaloula picta","Kaloula pulchra_new"
"1252","Fejervarya vittigera","Hoplobatrachus rugulosus"
"1253","Chelonoidis guntheri","Rubus niveus"
"1254","Chelonoidis microphyes","Capra hircus"
"1255","Anomaloglossus surinamensis","Batrachochytrium dendrobatidis"
"1256","Hyloscirtus antioquia","Oncorhynchus mykiss"
"1257","Gastrotheca excubitor","Batrachochytrium dendrobatidis"
"1258","Hyloscirtus tigrinus","Batrachochytrium dendrobatidis"
"1259","Malaclemys terrapin","Unspecified Rattus"
"1260","Telmatobius rubigo","Batrachochytrium dendrobatidis"
"1261","Telmatobius peruvianus","Batrachochytrium dendrobatidis"
"1262","Crocodylus niloticus","Chromolaena odorata"
"1263","Gastrotheca christiani","Batrachochytrium dendrobatidis"
"1264","Crocidura canariensis","Felis catus"
"1265","Telmatobius pisanoi","Batrachochytrium dendrobatidis"
"1266","Sclerophrys villiersi","Batrachochytrium dendrobatidis"
"1267","Phrynobatrachus liberiensis","Batrachochytrium dendrobatidis"
"1268","Phrynobatrachus steindachneri","Batrachochytrium dendrobatidis"
"1269","Leptopelis crystallinoron","Batrachochytrium dendrobatidis"
"1270","Hyperolius koehleri","Batrachochytrium dendrobatidis"
"1271","Astylosternus batesi","Batrachochytrium dendrobatidis"
"1272","Dasyurus geoffroii","Felis catus"
"1273","Sminthopsis douglasi","Acacia nilotica"
"1274","Phalanger matabiru","Unspecified Phalanger"
"1275","Macropus parma","Vulpes vulpes"
"1276","Petrogale persephone","Canis familiaris"
"1277","Bettongia lesueur","Felis catus"
"1278","Mesocapromys auritus","Rattus rattus"
"1279","Mesocapromys sanfelipensis","Rattus rattus"
"1280","Podomys floridanus","Felis catus"
"1281","Tylomys bullaris","Canis familiaris"
"1282","Oligoryzomys victus","Rattus norvegicus"
"1283","Nesoryzomys indefessus","Rattus rattus"
"1284","Pseudomys occidentalis","Felis catus"
"1285","Mesembriomys macrurus","Felis catus"
"1286","Bunolagus monticularis","Canis familiaris"
"1287","Lepus timidus","Lepus europaeus"
"1288","Lepus brachyurus","Martes melampus"
"1289","Sylvilagus audubonii","Lepus californicus"
"1290","Sylvilagus bachmani","Felis catus"
"1291","Sylvilagus palustris","Felis catus"
"1292","Sylvilagus varynaensis","Canis familiaris"
"1293","Alsodes neuquensis","Oncorhynchus mykiss"
"1294","Bubalus arnee","Unspecified Mikania"
"1295","Paruwrobates andinus","Batrachochytrium dendrobatidis"
"1296","Atelopus angelito","Batrachochytrium dendrobatidis"
"1297","Atelopus pachydermus","Batrachochytrium dendrobatidis"
"1298","Ectopoglossus isthminus","Batrachochytrium dendrobatidis"
"1299","Oophaga vicentei","Batrachochytrium dendrobatidis"
"1300","Ecnomiohyla rabborum","Batrachochytrium dendrobatidis"
"1301","Gastrotheca lojana","Batrachochytrium dendrobatidis"
"1302","Phrynobatrachus njiomock","Batrachochytrium dendrobatidis"
"1303","Atelognathus salai","Unspecified SALMONIDAE"
"1304","Hyloscirtus larinopygion","Oncorhynchus mykiss"
"1305","Eupsophus insularis","Felis silvestris"
"1306","Alsodes pehuenche","Unspecified Onchorhynchus"
"1307","Alsodes verrucosus","Unspecified SALMONIDAE"
"1308","Batrachyla nibaldoi","Neovison vison"
"1309","Hylorina sylvatica","Unspecified SALMONIDAE"
"1310","Calyptocephalella gayi","Xenopus laevis"
"1311","Pristimantis albericoi","Batrachochytrium dendrobatidis"
"1312","Strabomantis cheiroplethus","Batrachochytrium dendrobatidis"
"1313","Pristimantis chrysops","Batrachochytrium dendrobatidis"
"1314","Pristimantis cacao","Batrachochytrium dendrobatidis"
"1315","Pristimantis carlossanchezi","Batrachochytrium dendrobatidis"
"1316","Pristimantis deinops","Batrachochytrium dendrobatidis"
"1317","Pristimantis diogenes","Batrachochytrium dendrobatidis"
"1318","Strabomantis necerus","Batrachochytrium dendrobatidis"
"1319","Pristimantis silverstonei","Batrachochytrium dendrobatidis"
"1320","Gastrotheca angustifrons","Batrachochytrium dendrobatidis"
"1321","Gastrotheca guentheri","Batrachochytrium dendrobatidis"
"1322","Gastrotheca dendronastes","Batrachochytrium dendrobatidis"
"1323","Atelopus dimorphus","Batrachochytrium dendrobatidis"
"1324","Atelopus reticulatus","Batrachochytrium dendrobatidis"
"1325","Telmatobius arequipensis","Batrachochytrium dendrobatidis"
"1326","Atelopus pyrodactylus","Batrachochytrium dendrobatidis"
"1327","Telmatobius ventriflavum","Batrachochytrium dendrobatidis"
"1328","Crocidura zimmermanni","Crocidura suaveolens"
"1329","Metaphrynella pollicaris","Batrachochytrium dendrobatidis"
"1330","Werneria mertensiana","Batrachochytrium dendrobatidis"
"1331","Atelognathus praebasalticus","Unspecified SALMONIDAE"
"1332","Petropedetes palmipes","Batrachochytrium dendrobatidis"
"1333","Epipedobates tricolor","Batrachochytrium dendrobatidis"
"1334","Gastrotheca litonedis","Batrachochytrium dendrobatidis"
"1335","Hyloscirtus ptychodactylus","Batrachochytrium dendrobatidis"
"1336","Telmatobius atacamensis","Batrachochytrium dendrobatidis"
"1337","Rhinella achalensis","Batrachochytrium dendrobatidis"
"1338","Rhinella gallardoi","Unspecified SALMONIDAE"
"1339","Atelognathus patagonicus","Unspecified PERCIDAE"
"1340","Batrachyla fitzroya","Neovison vison"
"1341","Odontophrynus achalensis","Unspecified SALMONIDAE"
"1342","Pleurodema kriegi","Batrachochytrium dendrobatidis"
"1343","Telmatobius contrerasi","Batrachochytrium dendrobatidis"
"1344","Telmatobius hauthali","Batrachochytrium dendrobatidis"
"1345","Telmatobius hypselocephalus","Batrachochytrium dendrobatidis"
"1346","Telmatobius oxycephalus","Batrachochytrium dendrobatidis"
"1347","Telmatobius pinguiculus","Batrachochytrium dendrobatidis"
"1348","Telmatobius platycephalus","Batrachochytrium dendrobatidis"
"1349","Telmatobius schreiteri","Batrachochytrium dendrobatidis"
"1350","Telmatobius stephani","Unspecified SALMONIDAE"
"1351","Boana cordobae","Batrachochytrium dendrobatidis"
"1352","Melanophryniscus estebani","Unspecified SALMONIDAE"
"1353","Karsenia koreana","Batrachochytrium salamandrivorans"
"1354","Crocidura fingui","Felis catus"
"1355","Anomaloglossus beebei","Batrachochytrium dendrobatidis"
"1356","Anomaloglossus degranvillei","Batrachochytrium dendrobatidis"
"1357","Anomaloglossus leopardus","Batrachochytrium dendrobatidis"
"1358","Anomaloglossus blanci","Batrachochytrium dendrobatidis"
"1359","Anomaloglossus dewynteri","Batrachochytrium dendrobatidis"
"1360","Leptophryne javanica","Batrachochytrium dendrobatidis"
"1361","Peromyscus interparietalis","Felis catus"
"1362","Peromyscus pseudocrinitus","Felis catus"
"1363","Peromyscus slevini","Peromyscus fraterculus"
"1364","Gopherus evgoodei","Cenchrus ciliaris"
"1365","Chelonoidis vicina","Sus domesticus"
"1366","Chelonoidis vandenburghi","Equus asinus"
"1367","Leiocephalus carinatus","Herpestes auropunctatus"
"1368","Ctenosaura conspicuosa","Canis familiaris"
"1369","Sauromalus klauberi","Felis catus"
"1370","Sauromalus slevini","Felis catus"
"1371","Sauromalus varius","Rattus norvegicus"
"1372","Hemidactylus bowringii","Hemidactylus frenatus"
"1373","Lepus corsicanus","Lepus europaeus"
"1374","Telmatobius ceiorum","Unspecified SALMONIDAE"
"1375","Telmatobius laticeps","Batrachochytrium dendrobatidis"
"1376","Cyclura ricordii","Sus domesticus"
"1377","Cyclura cornuta","Unspecified HERPESTIDAE"
"1378","Wolterstorffina parvipalmata","Batrachochytrium dendrobatidis"
"1379","Leiolopisma ceciliae","Rattus rattus"
"1380","Phascogale calura","Felis catus"
"1381","Phascogale pirata","Felis catus"
"1382","Sminthopsis butleri","Canis familiaris"
"1383","Alsodes coppingeri","Neovison vison"
"1384","Centrolene medemi","Batrachochytrium dendrobatidis"
"1385","Colostethus imbricolus","Batrachochytrium dendrobatidis"
"1386","Bothrops caribbaeus","Didelphis marsupialis"
"1387","Alsophis sibonius","Felis catus"
"1388","Borikenophis portoricensis","Herpestes auropunctatus"
"1389","Mabuya dominicana","Herpestes auropunctatus"
"1390","Chilabothrus strigilatus","Felis catus"
"1391","Tropidophis caymanensis","Pantherophis guttatus"
"1392","Tropidophis celiae","Herpestes auropunctatus"
"1393","Tropidophis fuscus","Herpestes auropunctatus"
"1394","Tropidophis maculatus","Herpestes auropunctatus"
"1395","Tropidophis pilsbryi","Herpestes auropunctatus"
"1396","Tropidophis spiritus","Herpestes auropunctatus"
"1397","Tropidophis stejnegeri","Herpestes auropunctatus"
"1398","Tropidophis stullae","Felis catus"
"1399","Tropidophis wrighti","Herpestes auropunctatus"
"1400","Alsodes australis","Unspecified SALMONIDAE"
"1401","Niceforonia dolops","Batrachochytrium dendrobatidis"
"1402","Pristimantis ptochus","Batrachochytrium dendrobatidis"
"1403","Pristimantis quinquagesimus","Batrachochytrium dendrobatidis"
"1404","Nymphargus spilotus","Batrachochytrium dendrobatidis"
"1405","Centrolene geckoidea","Batrachochytrium dendrobatidis"
"1406","Centrolene peristicta","Batrachochytrium dendrobatidis"
"1407","Oophaga sylvatica","Batrachochytrium dendrobatidis"
"1408","Hyloxalus pulchellus","Batrachochytrium dendrobatidis"
"1409","Hyloxalus lehmanni","Batrachochytrium dendrobatidis"
"1410","Silverstoneia erasmios","Batrachochytrium dendrobatidis"
"1411","Hyloxalus abditaurantius","Batrachochytrium dendrobatidis"
"1412","Hyloscirtus bogotensis","Batrachochytrium dendrobatidis"
"1413","Phrynosoma blainvillii","Linepithema humile"
"1414","Hoplodactylus duvaucelii","Rattus rattus"
"1415","Woodworthia chrysosiretica","Trichosurus vulpecula"
"1416","Toropuku stephensi","Felis catus"
"1417","Tukutuku rakiurae","Rattus rattus"
"1418","Mokopirirakau kahutarae","Mus musculus"
"1419","Oligosoma whitakeri","Rattus exulans"
"1420","Oligosoma grande","Mus musculus"
"1421","Oligosoma otagense","Unspecified CORVIDAE"
"1422","Oligosoma striatum","Felis catus"
"1423","Sphenodon punctatus","Rattus rattus"
"1424","Naultinus gemmeus","Trichosurus vulpecula"
"1425","Naultinus manukanus","Mustela erminea"
"1426","Oligosoma zelandicum","Unspecified RODENTIA"
"1427","Oligosoma suteri","Rattus exulans"
"1428","Mokopirirakau cryptozoicus","Mustela erminea"
"1429","Mokopirirakau nebulosus","Rattus exulans"
"1430","Naultinus stellatus","Vespula vulgaris"
"1431","Naultinus tuberculatus","Vespula vulgaris"
"1432","Oligosoma burganae","Felis catus"
"1433","Oligosoma hoparatea","Felis catus"
"1434","Oligosoma judgei","Mus musculus"
"1435","Oligosoma levidensum","Lampropholis delicata"
"1436","Oligosoma lineoocellatum","Felis catus"
"1437","Oligosoma pikitanga","Mustela erminea"
"1438","Oligosoma taumakae","Gallirallus australis"
"1439","Oligosoma tekakahu","Rattus rattus"
"1440","Oligosoma toka","Mus musculus"
"1441","Oligosoma homalonotum","Mus musculus"
"1442","Ctenosaura oedirhina","Ctenosaura similis"
"1443","Ctenosaura palearis","Felis catus"
"1444","Sauromalus hispidus","Felis catus"
"1445","Sylvilagus mansuetus","Capra hircus"
"1446","Phelsuma guentheri","Felis catus"
"1447","Casarea dussumieri","Felis catus"
"1448","Leiolopisma telfairii","Suncus murinus"
